business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 39.9806746, 'lng': -75.1280968}, 'viewport': {'northeast': {'lat': 39.98207628029151, 'lng': -75.1268392697085}, 'southwest': {'lat': 39.97937831970851, 'lng': -75.1295372302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pizza Brain,{'open_now': True},"[{'height': 398, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101534969806646486904"">Pizza Brain</a>'], 'photo_reference': 'AW30NDxYaDyzyP7ZVnMkbRouAELKeStP83F1muEa9AWUi3tMYwrd-m_r0k0kdFrOea6WGlhcSf7LR9jHkd45obB2VnLL2V9KmeZxi3vrMDxTqFDwxAqXcRqNKGJL4srY5OyXocvk22A0O-uttlAjcY3_eFWNMmrFydYDRgOUELrGf3MFAci0', 'width': 506}]",ChIJtVClNDzIxokRag6PE027l9w,"{'compound_code': 'XVJC+7Q Philadelphia, PA, USA', 'global_code': '87F6XVJC+7Q'}",2.0,4.3,ChIJtVClNDzIxokRag6PE027l9w,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",853.0,"2313 Frankford Avenue, Philadelphia",
OPERATIONAL,"{'location': {'lat': 40.02057599999999, 'lng': -75.1337984}, 'viewport': {'northeast': {'lat': 40.02194703029149, 'lng': -75.1325341197085}, 'southwest': {'lat': 40.01924906970849, 'lng': -75.13523208029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tierra Colombiana Restaurant,{'open_now': True},"[{'height': 1153, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101735021267400742341"">Tierra Colombiana Restaurant</a>'], 'photo_reference': 'AW30NDz9Emm6ToWWeGurqVW4QzJ3WSPISBIEZAw2LgVQLP852yDd6V3ccdwcdLz5Tn4gUm5J9_8vPXI9czjnDjYcD4I0vySCFVateI7RhLuvevUd5hilFqVGFXjFvTJBp08HIUnKLBn-FlBhV6pQ-hcBvfNFzulUXzg6xyWRMkWPaSpZxV6S', 'width': 2048}]",ChIJQZGAf5a3xokRpmw19vEXTGE,"{'compound_code': '2VC8+6F Philadelphia, PA, USA', 'global_code': '87G62VC8+6F'}",2.0,4.3,ChIJQZGAf5a3xokRpmw19vEXTGE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3648.0,"4535 North 5th Street 1st floor, Philadelphia",
OPERATIONAL,"{'location': {'lat': 39.982431, 'lng': -75.127061}, 'viewport': {'northeast': {'lat': 39.9837820802915, 'lng': -75.12563296970849}, 'southwest': {'lat': 39.9810841197085, 'lng': -75.1283309302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Philadelphia Brewing Co.,{'open_now': True},"[{'height': 674, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105426976228878529423"">Philadelphia Brewing Co.</a>'], 'photo_reference': 'AW30NDwS6vncOoMJpHc0s9BtLo8uiTYzsbw2EJDe7ld7klSaAMKaQsWut6clN_acSqWcWM-ZmiOkg1I8lSchvSQmfbj_igRBDW2EfrXvr61qarF6OqpM3K6stV5xTQLzQ_cgiwryvVO2jHWl2d4ERz8sC33grdBRvpe9MgmZoItT1Md3uGaT', 'width': 1200}]",ChIJbTUR7zzIxokRCUHsVDLAKJY,"{'compound_code': 'XVJF+X5 Philadelphia, PA, USA', 'global_code': '87F6XVJF+X5'}",,4.5,ChIJbTUR7zzIxokRCUHsVDLAKJY,GOOGLE,"['liquor_store', 'tourist_attraction', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",200.0,"2440 Frankford Avenue, Philadelphia",
OPERATIONAL,"{'location': {'lat': 39.9803623, 'lng': -75.1230391}, 'viewport': {'northeast': {'lat': 39.9816906302915, 'lng': -75.12179061970849}, 'southwest': {'lat': 39.9789926697085, 'lng': -75.12448858029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Memphis Taproom,{'open_now': False},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100484495455481572143"">JOSE A. LUGO</a>'], 'photo_reference': 'AW30NDz6ogbIwOcgSXhSafBqptAZAvk7CmIPs_WFzk17zhwx72GVd77VCddApNJYWMLndWVbMn7BQ3PiySHFPHEvFKLZfnqfzMdHC21B08lRPvYVKfF_uRHbTqTejRq703UfB10wnqpVkbTy87KW1-td3OpX_geJc08xg05-3Wy6Hi19Kmbb', 'width': 4032}]",ChIJtYHMtzvIxokRtuFmRjNcEnw,"{'compound_code': 'XVJG+4Q Philadelphia, PA, USA', 'global_code': '87F6XVJG+4Q'}",2.0,4.6,ChIJtYHMtzvIxokRtuFmRjNcEnw,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",923.0,"2331 East Cumberland Street, Philadelphia",
OPERATIONAL,"{'location': {'lat': 39.999263, 'lng': -75.1333757}, 'viewport': {'northeast': {'lat': 40.00059573029149, 'lng': -75.1319435697085}, 'southwest': {'lat': 39.9978977697085, 'lng': -75.1346415302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Freddy & Tony's Restaurant,{'open_now': True},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105115686559457713758"">WENDY Carranza menes</a>'], 'photo_reference': 'AW30NDyyLiPzIxqjSapd-iL2WieANFKHpQC2pQXgVD6JGKfo7iKBA8KXaS0xwuIu1wX2N4Yv8KtvHGyxzVnpJ6ttAIZ6Ty3F_WlUg5hTaCErL8AK3DKnohnuLBH_7bhMDNv_iDgG3aiCjESFnN-iJqWAuqLmSYNqR_3d6j7hpC1XLpcjPImU', 'width': 3264}]",ChIJy-SYwuC3xokRjAHtdA6JEpo,"{'compound_code': 'XVX8+PJ Philadelphia, PA, USA', 'global_code': '87F6XVX8+PJ'}",1.0,4.2,ChIJy-SYwuC3xokRjAHtdA6JEpo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2409.0,"201 West Allegheny Avenue, Philadelphia",
OPERATIONAL,"{'location': {'lat': 39.99157020000001, 'lng': -75.1380491}, 'viewport': {'northeast': {'lat': 39.99304638029151, 'lng': -75.13677686970848}, 'southwest': {'lat': 39.99034841970851, 'lng': -75.1394748302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Popeyes Louisiana Kitchen,{'open_now': True},"[{'height': 1192, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116521553142755321956"">Popeyes Louisiana Kitchen</a>'], 'photo_reference': 'AW30NDyua_h8cvqDcD6E3MrcsMF5Ubm95Cf18fN5qNbIyMWxFvEXAr_nanNTy-RjUHsKJQJD6--awSoW9FAhDoBuNtdm0rli3fK2B_rZWVbB2Sqr7O_bRv2kWE1yO5okdC4Bt_hy2R_C0C5YmMPz3PV3NThNaW51PN9vWH1VohDi7TEqQhTD', 'width': 2119}]",ChIJN30WDhzIxokRA5hPTVQEDHY,"{'compound_code': 'XVR6+JQ Philadelphia, PA, USA', 'global_code': '87F6XVR6+JQ'}",1.0,3.8,ChIJN30WDhzIxokRA5hPTVQEDHY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1641.0,"314 West Lehigh Avenue, Philadelphia",
OPERATIONAL,"{'location': {'lat': 40.0070789, 'lng': -75.12807099999999}, 'viewport': {'northeast': {'lat': 40.0085149302915, 'lng': -75.12674281970848}, 'southwest': {'lat': 40.0058169697085, 'lng': -75.12944078029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Burger King,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112999827647687802165"">Romelo Skuggs</a>'], 'photo_reference': 'AW30NDzB7i6ywPyvbUf-4Ha75J-6BbcY2HdExF3pUnBfKcfeBAzcOKWUjR_vDkHmfD-9AaNawI7F0STGKguLA1M4TgdJ5PjfpPAWxaEbx4DNh5tiWPuRbaXPAurIJ-HNaTQD9QERl9eFiYaE0bAJ_YSsiWfYe7AXRUsNuHXyCkuwaE_U68_w', 'width': 1280}]",ChIJBYChqMO3xokRjYrZwsMwc6c,"{'compound_code': '2V4C+RQ Philadelphia, PA, USA', 'global_code': '87G62V4C+RQ'}",1.0,3.8,ChIJBYChqMO3xokRjYrZwsMwc6c,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1796.0,"100 West Erie Avenue, Philadelphia",
OPERATIONAL,"{'location': {'lat': 40.0119118, 'lng': -75.1125648}, 'viewport': {'northeast': {'lat': 40.01317913029149, 'lng': -75.1112310697085}, 'southwest': {'lat': 40.01048116970849, 'lng': -75.1139290302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100700273891480961085"">shackira Reyes</a>'], 'photo_reference': 'AW30NDw_P8SnlbDZDzLKwkeCUEZC5qlMLV9mgHZHKT_NFrBZd7mKFhk7acVwtV9E-7EUrlpe0okoIR4QpWRipyR3uV8oqDSEue_VR8GrrbH3ORziV_JEOTjqWJG1AfLZkJq0GCHFpUGItlhIUyyUKf2mSPEFN78Y0oiH5NN3NYnCOaMchT0i', 'width': 4032}]",ChIJBQBxFMq3xokRPgQpHaRL_rk,"{'compound_code': '2V6P+QX Philadelphia, PA, USA', 'global_code': '87G62V6P+QX'}",1.0,3.7,ChIJBQBxFMq3xokRPgQpHaRL_rk,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",352.0,"700 East Hunting Park Avenue, Philadelphia",
OPERATIONAL,"{'location': {'lat': 40.0082201, 'lng': -75.151168}, 'viewport': {'northeast': {'lat': 40.00960408029149, 'lng': -75.14994066970849}, 'southwest': {'lat': 40.0069061197085, 'lng': -75.15263863029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,City View Pizza and Grill,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111777566334214610590"">City View Pizza and Grill</a>'], 'photo_reference': 'AW30NDwqM93crphPZzIvmOQjxOMVMx-7Onl78yHHWcdM0lFPA_qu0EUr3YuHmqxrx-SnmnxPvNQeJwzN2eExpFCeoNK2VZMofq4OICjOjhqMv_1H-Dv4vGJwRc5fQNTMNRYS0t_Cr59-OkWnBJO94dVjtV3SO6CNR3VzAZ5dvuxnxlzU9qiJ', 'width': 2048}]",ChIJG8Yvefe3xokRPA_4aXYAm5k,"{'compound_code': '2R5X+7G Philadelphia, PA, USA', 'global_code': '87G62R5X+7G'}",2.0,4.2,ChIJG8Yvefe3xokRPA_4aXYAm5k,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1312.0,"3617-19 North Broad Street, Philadelphia",
OPERATIONAL,"{'location': {'lat': 40.01249019999999, 'lng': -75.1355311}, 'viewport': {'northeast': {'lat': 40.01390893029149, 'lng': -75.13417576970849}, 'southwest': {'lat': 40.01121096970849, 'lng': -75.1368737302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Dunkin',{'open_now': True},"[{'height': 800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111216687604648575296"">Dunkin&#39;</a>'], 'photo_reference': 'AW30NDz9VnEtBOuiM5LtzKHkDXc5z3z26MEQR1uxeuM8Szwc9TkPS0jfbfoZU9f1kNp5FQu5-GTi1Uw7LiExuZum8j8dHYzWZgYKZ0R4wGxeLr4yoy01xWllbQ_Wdtv1lvO7L4ygVohhn4xFMn271YfllCflkXHSbzYBSfCcUNIPDuWCPAPM', 'width': 1143}]",ChIJFyt_veu3xokRL2gEDxDXKpY,"{'compound_code': '2V67+XQ Philadelphia, PA, USA', 'global_code': '87G62V67+XQ'}",1.0,3.7,ChIJFyt_veu3xokRL2gEDxDXKpY,GOOGLE,"['cafe', 'meal_takeaway', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",250.0,"4017-59 North 5th Street, Philadelphia",
